UUID,Area of Expertise,Programming,Past Experience,Course Prefs
d33b4249-bdea-43cf-8711-e397f4405299,machin learning digital signal processing speech recognition natural language processing image processing,I have fairly solid background in Java and C++. Good knowledge in C (although have not used it for a while) and Unix (for daily uses mostly) and very limited background in VHDL and none in Scheme  I do not have a professional background in Windows Operating Systems.,CourseTitleInstructorPositionWhenICS 45CPROGRAMMING IN C/C++ AS A SECONDAlex ThorntoneReader2020-fallICS 53Principles in System DesignIan HarrisReader2021-springCS 141Programming LanguagesRaymond KlefstadTA2023-springCS 141Programming LanguagesRaymond KlefstadReader2022-spring,CourseTakenGradeCS 141YCS 171NCS 175NCS 53N
349dc25f-e933-49f9-874b-82616f7aae36,"My area of expertise lies in C/C++ language, Programming Concepts, Software Designing, Software Development & Testing, Database Management Systems, Computer Organization and Architecture, Operating Systems, Data Structures & Algorithms, Computer Networks, Computer Security, Probability, and Discrete Mathematics.  My special qualifications include excelling in 1. Database Management Systems and Advanced Data Structures & Algorithms during my undergraduate studies. 2. Additionally, I have a strong proficiency in developing desktop applications.  I specialized in the role of a TA while working in the Computer Organization and Architecture laboratory during my bachelor's.","I have varying levels of experience with the below languages. C/C++: Expert - I have over 3 years of experience developing desktop applications using C and C++ at Adobe. Additionally, I've been using C++ competitively for more than 5 years. Java: Intermediate - Recently, I worked on a JAVA project called ""Parameterised Units Tests"" with Prof. Darko Marinov of UIUC. During this project, I discovered and reported three bugs in Apache Hadoop, an open-source Java repository. SQL: Beginner -  My experience with SQL is primarily from college coursework and working with Adobe databases.  Below are my experiences with operating systems. Linux: Beginner - My exposure to Linux has been limited to college projects. Windows and macOS: Expert - I have more than a decade of experience using Windows and around 3 years of experience with macOS. I'm proficient in navigating both environments, using the Terminal, configuring systems, and developing applications.  Other Programming Languages: Python (Intermediate) | HTML/CSS (Expert) | JavaScript (Advanced) Other Technologies/Frameworks: Git | Perforce | ReactJS | Node.js | MobX | Socket Programming",,CourseTakenGradeCS 122AYACS 238PYABCS 161YABSTAT 67YA
7c7f374c-b662-49ab-8aea-e85610239660,"network, communication theory, probability, math, C/C++/JAVA programming, security","I developed network S/W using C, C++, and JAVA.  I dealt with various OS such as Linux, android, and windows.  I get used to using the command line in OS.",CourseTitleInstructorPositionWhenEECS 55Engineering ProbabilityHamid JafarkhaniReader2023-winter,CourseTakenGradeCS 134YACS 132YA-CS 145YACS 152YA-
c171debd-d479-4b55-918f-0fd92c99657d,"I have 5 years of experience in UX/Service Design in the tech industry. My day-to-day work included usability testing (e.g., task analysis, diary study), qualitative data analysis (e.g., app market reviews, interview scripts), and low-fidelity prototyping (UI design with Figma). I'm good at using graphic tools such as Photoshop, Final Cut, and Figma.",,,CourseTakenGradeGDIM 51NINF 282NINF 131NINF 171N
2a6424d5-6229-4218-9221-fd8fd4374ed9,"My areas of expertise include Data Structures, Algorithms, Operating Systems, Computer Networks, and DBMS. I consider myself fluent in these subjects. And, I can make others understand these subjects thoroughly. I have served as a TA for the GDIM 139 course during the spring quarter of 2023. I have a bachelor's degree in Computer Science which I received with distinction. I also have more than 3 years of work experience in the relevant field where I was working with Samsung Electronics to build various products from scratch. I have given 50+ hours of online coding sessions for employees at Samsung Electronics. I have also given one Machine Learning session of 2 hours.","I have more than 3 years of professional experience with C, C++ and Java. However, I have used them for more than 6 years in personal and other projects. I also have MySQL experience of more than 6 years and I have used it while building a website as a personal project and also while taking part in a hackathon. I have more than 10 years of experience with Windows OS. Apart from the languages mentioned above, I also have experience with Python, Machine Learning, and Deep Learning.",CourseTitleInstructorPositionWhenGDIM 139Game EngineeringDarryl Dean DespieTA2023-spring,CourseTakenGradeICS 46YA+ICS 6DYA+ICS 6BYA+ICS 45CYA+
068fa7fd-974f-4b9f-a365-51ca1799d6ee,"Area of Expertise: - Machine Learning - Software Engineering - Quantum Computing  Special Qualifications: - Worked with Prof. Cristina Lopes' team to develop an application on the Spacetime framework - Devised course recommendation engine architecture for MOOC platform to improve student engagement and minimize dropout - Developed a cross-platform pipeline for the novice investor on temporal stock data and real-time news feed to give reliable stock price pattern predictions, accounting for in uence of news on stock prices - Minor Degree in Machine Learning - Udemy's Complete Flutter Bootcamp with Dart Course conducted by Dr. Angela Yu - Udemy's Zero-to-Hero in Python Bootcamp Course condcted by Jose Portilla - Project M.D. - an Android-based medical imaging and document management app - developed by me in the third semester was awarded First position at Institution of Electronics and Telecommunication Engineers' Annual Software and Hardware Competition - Frameworks worked with - Keras, Scikit-learn, Flutter, TensorFlow, Pandas, UCI's Spacetime Framework  Teaching Experience: - TA at UCI for INF 117 Project in Software System Design for Spring 2023 quarter with Prof. Hadar Ziv as faculty supervisor  - TA at UCI for INF 191 A & B Senior Design Project for Fall 2022 and Winter 2023 quarters with Prof. Darren Denenberg as faculty supervisor - TA at UCI for INF 191 A &B Senior Design project for Winter 2022 quarter with Prof. Hadar Ziv as faculty supervisor - TA at UCI for INF 117 Project in Software System Design for Fall 2021 quarter with the supervision of Prof. Sam Malek Online Teaching Experience: - Curated lesson plans to tutor students online for the GRE General Test. Conducted free-of-charge sessions of both Quantitative and Verbal Reasoning - Counselled students online via Zoom calls, answering their questions regarding information about graduate school admissions and giving scenario-based sugestions on how they can best build their profiles for the same.","Java: 4 years. Adept with using Java to implement fundamental concepts like the postulates of object oriented programming to more advanced concepts like data structures, searching and sorting algorithms, hashing, linked-lists, Java applets, Android App Development, and graphs C/C++: 5 years. Experienced with searching, sorting, mathematical equations and calculations, statistical calculations, developing basic games and display patterns. SQL: 2 years. Used SQL in Oracle Database Software to build a project lab inventory management system as part of 'Database Management Systems' course curriculum.   Operating Systems:  Comfortable with both Linux (as Ubuntu and Raspbian OS) and Windows Operating Systems  Other Language, Operating Systems, or database experience: - Python: 3 years. Completed Udemy's Python Bootcamp Course. Developed all projects in Python - Raspbian OS: Experimented with Raspberry Pis in first year of college - Google Firebase/Firestore: Employed Firebase Authentication and Realtime Database System with 'Investment Aid using Machine Learning' Project.",CourseTitleInstructorPositionWhenINF 191Senior Design ProjectDerren DenenbergTA2023-winterINF 191Senior Design ProjectHadar ZivTA2022-winterINF 191Senior Design ProjectHadar ZivTA2022-springINF 191Senior Design ProjectDerren DenenbergTA2022-fall,CourseTakenGradeINF 191NINF 117N
428c360b-c407-407b-ad96-e65f5c1ef8d3,,,"CourseTitleInstructorPositionWhenSTAT 67Introduction to Probability and StaDave ArmstrongReader2019-fallSTAT 120BINTRO PROB STATS IIWeining ShenReader2020-summerSTAT 115BAYES DATA ANALYSISMine GulesserianReader2020-summerSTAT 112STATS METH DATA III ASSERIAN, L.Reader2021-spring",CourseTakenGradeSTAT 110YSTAT 120AYSTAT 281AYSTAT 67Y
d6836d3f-4104-4fd0-b761-13d0515d9627,"machine learning, artificial intelligence, data science masters degree in data analytics experience tutoring and teaching online   experience as a supplemental instruction leader, teacher assistant, and lab assistant","years experience in C++, java, python, jupyter notebook, windows, linux, macOS some experience in docker, assembly, spark, hadoop, C, R, mathematica, matlab  Years of experience with NASA Ames Research Center and SETI Institute, researching multimodal machine learning methods - primarily involving spectroscopy on both the micro and macro level.",CourseTitleInstructorPositionWhenICS 139WCRITICAL WRITINGShannon AlfaroTA2023-spring,CourseTakenGradeCS 178YACS 273AYACS 271PYACS 171YA
0ba1dd42-de5a-4754-8020-288f1049e5f0,"The following are my areas of expertise: Data Structures and Algorithms, Computer Networks, Data Analytics, Parallel Computing, Databases, Operating Systems, Cloud Computing and Computer Networks.  I have worked as a software developer for 3.5 years at Hewlett Packard Enterprise. I used python, scala and Java programming languages extensively during my work tenure to work on Big Data projects. I also used a non relational SQL database Cassandra to store the output of data analytics solutions. I also have hands-on experience with Linux and ubuntu operating systems. I learnt R programming language as a hobby.   I have taught python programming language through online mode as a volunteer during the COVID pandemic. I was also the graduate student mentor at HPE and was tasked with teaching about software design and best practices to incoming interns.","As a part of undergraduate studies following were the subjects I had taken: Java, VHDL, C and C++ 1. Java:     a. Level: Intermediate     b. Studied Java as part of my undergraduate degree course     c. Implemented various encryption and decryption algorithms using Java     d. Worked on creating a sprint boot based Java application to alert infrastructure related issues during my work tenure at Hewlett Packard Enterprise. 2. C/C++     a.  Level: Advanced     b.  First programming language learnt in college.     c.  Created a tic-tac-toe game using C++ language for college project     d.  Programmed a robot using C++ as part of e-Yantra Robotics competition     e.  Used Embedded C and C++ in projects that I did as part of various hackathons and challenges.     f.  This experience will help me be TA/Reader for these courses: ICS 045C, ICS 046,  3. SQL:     a. Level: Advanced     b. I have extensively used the non relational SQL database, Cassandra to store the output of the spark applications.      c. During my internship at Hewlett Packard Enterprise, I worked on optimizing the Cassandra read and write operations and reduced runtime of batch jobs by 25%.  4. VHDL:     a. Level: Intermediate to Advanced     b. I studied VHDL as part of my undergraduate degree.     c. Designed an 8 bit ALU using XLinx as part of the course project     d. Created flip-flops and 7 segment display using Verilog code.  I have hands-on experience with centos, ubuntu, macOS, and Windows operating systems.  1. Linux:        a. Level: Advanced        b. Extensively used centos and ubuntu on AWS Cloud        c. Wrote multiple shell and cron scripts on centos and ubuntu instances        d. I led operational efforts in migrating the batch jobs from in-house machines to a cloud-based 500 node ubuntu cluster to make the applications more scalable.         e. I have also used Debian OS when working with Raspberry Pi to process data from various sensors. 2. macOS:        a. Level: Advanced        b. Actively using for the past 4 years during my tenure as Software Designer at Hewlett Packard Enterprise        c. The spark-based applications that I developed were on a macOS operating system.  3. Windows:        a. Level: Advanced        a. I have used Matlab and other simulation tools on Windows OS during my undergraduate degree.  Other experiences:  1. Python:     a. Level: Advanced     b. 3 years of professional experience in Python.      c. Collection and processing of telemetry data to find anomalies in customer Wi-Fi networks using the Big Data analytics tools like  Spark as a part of professional assignments during my work tenure at Hewlett Packard Enterprise.     d. Created a Rest API for an engineering dashboard using FastAPI while working at Hewlett Packard Enterprise.     e. As a part of project work - Data processing from various embedded sensors and building applications using that data     f. Web scraping using Selenium to setup automated alerts.     g. Received certifications for the following courses:         1. Python(Hackerrank)         2. Applied Data Science with Python(Coursera)         3. Spark and Python for Big Data with PySpark(Udemy)  2. Cloud computing:     a. Level: Advanced     b. Used cloud computing to find the nearest rescue center as part of my final year project during undergraduate degree.     a. Developed applications using cloud infrastructure solutions like Kafka, Zookeeper, Elasticsearch, Elastic Kubernetes Service, AWS glue, lambda     b. Worked on setting up networking infrastructure of clusters using AWS services. 3. Computer Networking:     a. Level: Advanced     b. Studied Computer Communication Networks subject in undergraduate degree which included both theory and lab.     c. Worked on finding issues in the customer Wi-Fi network based on Authentication, Association, DNS and roaming during my work tenure at Hewlett Packard Enterprise.",CourseTitleInstructorPositionWhenICS 31Introduction to ProgrammingProf. Mohammad MoushirpourTA2023-springICS 32Programming with Software LibrariesProf. Alberto Krone MartinsTA2023-winterEECS 144Antenna DesignProf. Filippo CapolinoReader2022-fallCS 132Computer Communication NetworksProf. RamyaReader2019-winter,CourseTakenGradeSWE 242PYAICS 31YACS 161YAINF 43YA+
cf45f487-f6e6-4086-9077-d6861923a1a6,"UX research methods (qualitative), UX design, and quantitative research skills from social science (such as carrying out experiments and statistical analysis)","No prior experiences with Java, VHDL, Scheme, C, C++, VHDL, and/or SQL languages. I am familiar with both Windows and macOS. For statistics, I've been using R for several years.",,CourseTakenGradeINF 280NINF 281NINF 282NINF 131N
c62603da-683d-4c17-ad55-d827a72832dd,"1. My expertise will be systems (Operating system, Database system), programming project-related courses, and software engineering courses.  - I have a strong foundation in data structures and algorithms (and analysis). - I am very good with object-oriented programming. So, I am a proficient programmer in Java and C++ and developed several systems used by millions of users. - I have a good understanding of networks and operating systems as well. I have had hands-on experience in network device configurations (routers, switches, etc.).  - I am good with projects that require intensive code writing and design practices.  - I have a good understanding of current industry standards of Computer Science in terms of technology. - I have a good understanding of design practices followed in the Software Engineer industry. - I have the Understanding and ability to program a complete database management system from scratch. I have developed a SQL-like database from scratch with functionalities like indexing, querying, etc.  - I am proficient in scripting languages like python and bash. - I have previous experience being a TA in my undergrad institute three times. As a TA, I conducted various discussion sessions, lab sessions, graded assignments/exams, etc.   2. TECHNICAL SKILLS • Proficient: Java, Python, C, C++, Kubernetes, CI/CD, Django, Celery, Prometheus, Helm, MSSQL, HQL, Hadoop, Git, Bash • Familiar: Grafana, Hive, Airflow, Spark, FaaS, Chef, Spring Framework • Soft Skills: Leadership, Communication, Adaptability, Teamwork, Attention to detail  3. Some of my Courses done : - Operating Systems - Computer and Communication networks - Networking Lab - Data structures and algorithms - Database Management System - Probability and Stochastic Process - Reinforcement Learning in Artificial Intelligence - Graph Algorithms - Probability Distribution - Introduction to Computer Science - Machine Learning - BioInformatics  4. Professional Experience: I have a total of 4 years of work experience as a Software Engineer.  a. Senior Software Engineer at Rubrik Inc. (Partnership with Google) for 2 years: End-to-end development of Rubrik's resource manager application and development infrastructure. Led various projects by gathering requirements, planning OKRs, tech-stack, and technical execution. Initiatives and achievements:  b. Software Engineer at Yahoo! Japan for 2 years: Backend development of recommendation systems and web applications with database, used by over 20 Yahoo! Japan Services such as Gyao, Travel, Auctions, etc.","- Java - 6 years  -  python - 4 years -  C++, C - 2 years - HQL, SQL, MSSQL - 4 years - Cassandra and MySQL - 2 years -  programming paradigms ( Reactive, functional etc) - 2 years - Linux and macOS operating system - 6 years - Bash scripting, yaml - 4 years - Web application development - 4 years - database system implementation - 1 year",CourseTitleInstructorPositionWhenSWE 267PCloud and Security FoundationsIan HarrisTA2023-springBBL434BioinformaticsD. SundarTA2018-fall,CourseTakenGradeSWE 276PYACS 132YA+CS 134YAICS 45JYA
33383534-7ff1-4b27-95e6-ac576f446c4f,"During my time as a Teaching Assistant for the course BANA 295 Big Data Management at Paul Merage UCI School, I had the privilege of not only deepening my own comprehension of the subject matter but also gaining invaluable experience in supporting students on their learning journeys. The role allowed me to actively engage with the students, facilitating meaningful discussions, and providing assistance with assignments, all while offering essential academic guidance. Witnessing the growth and progress of the students was immensely fulfilling, particularly as I observed their excitement and sense of accomplishment when they successfully grasped complex concepts. Being a Teaching Assistant was a truly gratifying experience, and it solidified my passion for education and my commitment to empowering students to succeed in their academic pursuits.  During my tenure as a Software Engineer Intern at Oracle, I undertook a pivotal role in optimizing system performance for monitoring operations by analyzing and fine-tuning compute resources, including CPU, Memory, and Disk. This involved conducting thorough analyses to identify key factors that triggered optimal Heap tuning, with the ultimate aim of reducing overhead and enhancing overall efficiency.  As a data analyst, processed data by converting business users' needs into query language on Databricks with Pyspark technology in ETL(Extract Transform Load) domain to deliver a usable dashboard to users. Leveraged AWS services for infrastructure and storage (EC2 and S3) to increase scalability. Established airflow pipelines to orchestrate the flow of data. Developed an automated Jenkins procedure to deploy code on Databricks, SQL queries for pipeline generation in EC2, and DMLs and configurations on S3. Collaborated with Product Manager to understand client requirements, executing high quality database; monitored database performance, running queries and sub-queries, reducing database downtime by 50%. Devised plan to manage ad-hoc data loads, collaborating with team of 2 to formalize requests; performed agile methodology to increase responsiveness to service requests. I am also a AWS certified developer.  In addition, I have developed Android applications with backend databases like NoSQL as a software product developer. I also spent a year as a member of the coding team in the robotics field. I coded a holonomic encoded three-wheel drive, and I integrated it with sensors to make the bot follow lines and fences. However, I am particularly interested and competent in data engineering, big data management, and cloud computing.  I am currently a Reader in EECS department for Database Management course. I led a five-day online working session to orient new hires to the project at ZS Associates as part of my teaching duties. I walked them through the software development methodology, infrastructure, and technologies that were leveraged, as well as the entire product lifecycle, from requirement gathering to deployment. Furthermore, I organized a 3-day robotics workshop during my undergrad to teach students the fundamentals of robotics and provide hands-on practice using microcontrollers to do simple tasks. Also, I have worked for the nonprofit organization U & I, which runs a 9-month after-school program for teaching kids from underprivileged backgrounds. I volunteered to tutor ninth-grade math students.","I've been studying the Java programming language since I was in ninth grade. I have created many small projects and developed applications in Java. In my college coursework and in competitive programming, I used C++. I've utilized both SQL and NoSQL database languages in the backend of projects. I practiced PySpark for data transformation in my previous position as a data analyst. For almost ten years, I have used the Windows operating system. For my undergrad operating systems studies and to implement ROS for a competition, I explored Linux for two years.",CourseTitleInstructorPositionWhenBANA 295BIG DATA MANAGEMENT SYSTEMSVagelis HristidisTA2023-springCS 122AIntroduction to Data ManagementPhilip SheuReader2023-winterEECS 116Introduction to Data ManagementPhilip SheuReader2023-winter,CourseTakenGradeCS 143AY4CS 161Y4CS 178Y4CS 141Y4
7cf9c9d3-b746-4e1d-8793-a56beab030b8,"I bring with me a good understanding of the different aspects of Computer Science mainly in the areas of Distributed Systems and Artificial Intelligence, with over 2 years of strong professional experience and most importantly, a desire to learn and deliver to my full potential.   I am currently pursuing my Masters in Computer Science at UCI and completed my undergraduation in Bachelors of Information Technology in the year 2020. Post that, I worked for 2 years and a half at American Express as a Software Developer working at the payments backend in network Modernization.  I trained and gave over 10+ Knowledge Training  sessions to over 25 interns and new joiners while working as a Software Developer at American Express for 2 years. I was also a part of the mentorship program for new joiners in the American Express office During my undergraduate studies, my Java teacher gave me an opportunity to conduct a seminar named “IOStream” on Java File Handling to a class of 40 students. I also conducted a workshop to learn Git and GitHub as part of Google Developers Group Club at my college and a huge number of students attended the workshop. I supported NGOs with early childhood education programs in the area of Mathematics during my undergraduation. I also prepared lesson plans, learning outcomes measured students progress and took the maths classes weekly 3 hours for a year. I have a unique ability to see where students require assistance, allowing me to reteach the concepts in a way that the students can understand.  I believe that working as a teacher's assistant will supplement my student teaching experience. I believe that the more experience I can gain, the better prepared I will be as a future educator.","I have over 6 years of experience with Java, C, C++ and SQL. I have over 5+ years of experience using Linux, Windows, and macOS operating systems.  I also have good experience of below Languages, Tools and Frameworks - Languages: Java, Golang, C++, Python, Bash, Groovy, YAML, HTML, PHP, JavaScript, SQL, OOPs.  - Toolkits/ Tools: JMeter, Docker, Kubernetes, OpenShift, Vert.x, Hashicorp Consul, Vault, Prometheus, Grafana, IntelliJ, Goland, NetBeans, Dev-C++, Maven, Android Studio, Git, Bitbucket, Swagger, Postman.  - Frameworks: Kafka, Redis, GRPC, ProtoBuf, Kibana, JWT, Jeager, RxJava, Junit, Spring, Jenkins, Envoy, Couchbase, Cassandra.",CourseTitleInstructorPositionWhenICS 167Multiplayer SystemsAllison SalmonTA2023-winterICS 161Game Engine LabAllison SalmonTA2023-spring,CourseTakenGradeGDIM 31YA+ICS 31YA+ICS 45JYA+ICS 6DYA+
32f82179-7455-4a5b-8b00-26a18e9cf3b5,"Computer architecture, Network, Accelerator, Chip design.","I have been using Linux for 7+ years and am familiar with C, C++, and Verilog. For Linux, I have implemented Debian packages and repositories to maintain an installation system. I also implemented a Vim plugin for convenience.",,CourseTakenGradeCS 250BYACS 250PN
b53b9571-3a34-4ad5-a9a7-e769a8914490,"I consider data structures, algorithms, and software engineering as my areas of expertise.  In my first year of undergraduate, I learned programming in C++, which introduced me to data structures. I also participated in student coding clubs where I learned how algorithms are used to solve coding problems. Curious about these topics, I took up CS electives like Data Structures, Algorithms, and Graph Theory. I also enrolled in MIT OCW courses like Algorithms and Design & Analysis of Algorithms to expand my knowledge. I became proficient in data structures and algorithms when I applied what I learned to solve practical programming questions. I solved problems on popular coding platforms like Codechef, Leetcode, and CSES. As the difficulty of the problems I solved increased, I also explored competitive programming. I started solving questions on Codeforces, a competitive coding platform where participants in coding contests solve 4-8 coding questions in a given time frame. After participating in many contests, I came across new problem-solving techniques like digit dynamic programming, dynamic programming on trees, and segment trees. By solving increasingly complex problems in less time, I increased my rating on Codeforces. I learned advanced algorithms and problem-solving techniques, which made me proficient in data structures and algorithms.  I am also proficient in software engineering. After learning C++ in my first year of undergraduate education, I also explored the web development domain. I enrolled in online courses to learn front-end and back-end development using technologies like Node.js, HTML, CSS, and jQuery. I made several personal projects to gain experience making modern, full-stack applications. I also learned mobile app development using UI frameworks like React Native. To apply this knowledge, I developed a personal task manager application called “What’s To Do?” and published it to the Play Store. I used Google Cloud Platform services for user authentication and data storage. When I joined JPMorgan Chase & Co. as a software engineer, I learned technologies commonly used in the industry like Java, Spring, and React. After learning these, I learned how software engineers develop enterprise software and write clean, modular code. I learned how project teams use an agile approach to develop software and follow the software development lifecycle. A combination of learning various modern technologies and professional experience as a software engineer in the industry made me proficient in software engineering.  I don’t have any experience teaching online courses in the academic domain. However, I have conducted online knowledge-transfer sessions for my team where I discussed technical topics like creating AWS Lambdas using Terraform.","I am adept in programming in C++, JavaScript, and Java.  I have been programming in C++ since 2018 (5 years experience). I learned C++ as part of my first-year undergrad curriculum. C++ is my primary programming language for solving technical problems. I have a strong foundation in data structures and algorithms and use it to implement solutions for programming problems in C++.  I learned Java (1yr experience) during my work experience at JPMorgan Chase & Co. I used it to develop full-stack applications using the Spring framework. After a year of experience developing spring boot applications, I am familiar with commonly used libraries like Hibernate, Jackson, Mockito, jUnit, Apache Commons, HttpClient, Redis, AWS SDK, and others.  I also learned basic SQL (1-year experience) during my work experience by writing queries to fetch data for business applications. I also worked on a Liquibase migration from Flyway where I learned about SQL and PL-SQL.  I have been using macOS for 3 years. Before macOS, I used Windows for 10 years and Linux for 2 years.  I am also proficient in building frontend UI components using JavaScript by leveraging frontend JavaScript frameworks like React.js. At JPMorgan Chase, I developed several UI screens and functionalities for business applications using React.js, Redux, and Redux-Saga. I also used JavaScript to write server-side logic using JavaScript runtimes like NodeJS for smaller-scale projects. I am also adept in building mobile applications using React Native, a UI JavaScript framework.  I also have exposure to Python by building machine learning models and performing data analysis on datasets during my undergraduate years.  I am also familiar with relational and non-relational databases. I have experience integrating and using MongoDB and MySQL as a database for applications.",,CourseTakenGradeICS 46Y9ICS 45CY8ICS 31NICS 45JN
d7c029f7-a3aa-49b4-be5c-6fbc60cad50e,Machine Learning/Reinforcement Learning/Deep Learning Probabilistic Graphical Models Convex Optimization Information theory/Probability theory Data Structures and Algorithms/Analysis of Algorithms Programming/Coding,"Programming Languages:   Python: Advanced   C/C++, Java, bash, MATLAB, R, JS, HTML, CSS: Intermediate   C#: Beginner  Database:   PostgresSQL, Clickhouse: Beginner  Operating Systems:   Linux, MacOS: Intermediate   Windows: Beginner  I'm comfortable with deep learning, machine learning, data science, and graph libraries in python. Also, I have experience in web development(Django/Flask), app development (Android), and Parallel programming (OpenMP).",CourseTitleInstructorPositionWhenCS 178Machine Learning and Data Mining Padhraic SmythTA2022-fallCS 274ALearning in Graphical ModelsPadhraic SmythTA2023-winterCS 178Machine Learning and Data Mining Gavin KerriganTA2023-springCS 274BGraphical ModelsErik SudderthReader2022-spring,CourseTakenGradeCS 274EYACS 273AYACS 178YACS 169YA
24a88098-e2ef-4574-804f-92b022c536a3,"I have three years of Software Engineering experience at Societe Generale (A French Investment bank) And Intel Corporation(Semiconductor Firm). At Intel Corporation, I had the opportunity to develop Intel-Trust Authority, also known as Project Amber. In this role, I utilized Intel hardware technologies to ensure the trustworthiness of computer resources on the cloud. I gained proficiency in coding microservice applications using Golang and gained experience in deploying applications using Kubernetes, Helm, and Istio. Additionally, I successfully led the migration of applications to a hybrid cloud infrastructure on AWS and Azure with a SLA of 99%. Prior to my tenure at Intel Corporation, I worked as a full-stack developer at Societe Generale Global Solution Center for a year and a half. During this time, I worked extensively with Python and Angular, contributing to the development of various projects specially in the field of networking. My area of expertise would be designing distributed systems on the cloud (AWS and Azure) and taking care of all security requirements and handling critical production issues. I do not have experience handling a course but I have managed two junior engineers in my team and helped them ramp up on the current architecture.","I am very passionate about data structures and algorithms for which C++ is my go to language. I have solved 700 plus problems on coding websites like leetcode and codeforces, thus strengthening my knowledge on dsa and C++. Apart from this I have build a campus link portal using Java swing, JDBC, Mysql and Mongodb. I also have professional experience in working with postgres and handling upgrades for the same. i have good knowledge on the linux operating system including Redhat and Ubuntu and worked on the same for 3 years to support Production.",,CourseTakenGradeCS 143AYSCS 134YBICS 32YSCS 151YA
a118cc4a-c231-43cf-8cd9-04b0ee278395,"I am currently pursuing Masters of Computer Science. Relevant Courses: Algorithms with Applications, Advanced Programming and Problem Solving, Introduction to Artificial Intelligence.  Relevant Courses from my Bachelors include: Advanced Data Structures and Analysis of Algorithms, Automata Theory, Operating Systems, Computer Networks, Cryptography and Network Security, Cloud Computing Services, Artificial Intelligence, Information Retrieval, Software Engineering with Project Management.  I have experience with a wide range of programming languages and technologies, including • Programming languages: Java, C, C++, Python • Web Development: HTML, CSS, PHP, AJAX, JavaScript, React.js, Django, Flask • Artificial Intelligence: NumPy, Pandas, Matplotlib, OpenCV, Scikit-learn, Keras, TensorFlow, MATLAB • App Development: Swift, SwiftUI • Databases: MySQL, Oracle, MongoDB, Firebase • Cloud Technologies: AWS, Azure I have also developed a number of web and mobile applications.  I also have experience teaching online courses.  • Appointed as a Senior Mentor of DJ Init.Ai, the AI club of DJSCE; taught core concepts of AI, wrote blogs, and mentored juniors on research projects.  I have published several research papers in this field:- Apple Leaves Diseases Detection Using Deep Convolutional Neural Networks and Transfer Learning Python, TensorFlow, Deep Learning, Computer Vision • Built a novel model for apple leaf disease detection to help farmers improve efficiency and reduce the costs of orchard management. • Performed data augmentation techniques and implemented an ensemble of DCNN models by leveraging transfer learning and fine-tuning for multilabel classification of apple leaves. • Authored and published a book chapter in Computer Vision and Machine Learning in Agriculture, Vol 2 in the Springer book series Algorithms for Intelligent Systems, DOI: 10.1007/978-981-16-9991-7_13.  Zero-shot approach for news and scholarly article classification Python, Machine Learning, Natural Language Processing • Suggested an approach to minimize computational costs and dependency on labeled data. • Employed a Zero-shot mechanism to classify BBC News articles and ArXiv scholarly articles into various unseen categories and compared it to the Multinomial Naïve Bayes model. • Authored and published a paper in IEEE International Conference on Advances in Computing,     Communication, and Control (ICAC3), 2021, pp. 1-5, DOI: 10.1109/ICAC353642.2021.9697327.  Sorting Algorithm using Radix tree and Binning Data Structures, Algorithms, Java • Proposed a new data sorting algorithm to sort numbers using radix tree and binning and observed that, the algorithm performed better than some ubiquitous algorithms on large datasets. • Published a chapter in Research Advances in Network Technologies, CRC Press ISBN: 9781032340487.  Visual Question Answering Python, TensorFlow, Deep Learning, Computer Vision, Natural Language Processing • Researched existing models, authored and published a paper titled ""Review of VQA: Datasets and Approaches in IEEE International Conference on Advances in Computing, Communication, and Control (ICAC3), 2021, pp. 1-6, DOI: 10.1109/ICAC353642.2021.9697283. • Constructed a multimodal system by integrating a pre-trained CNN and Bi-GRU.  Machine Learning Based Intrusion Detection System Python, Machine Learning • Programmed and compared various ML algorithms for anomaly-based intrusion detection. • Published a paper on the same in IEEE Fourth International Conference on Advances in Electronics, Computers and Communications (ICAECC), 2022, pp. 1-5, DOI: 10.1109/ICAECC54045.2022.9716648.","I have undergraduate and/or internship experience in Java, C, C++, VHDL, SQL and NoSQL Databases. I also have experience with Linux, Windows and macOS.",CourseTitleInstructorPositionWhenEECS 22Advanced C ProgrammingRainer DoemerReader2023-winterEECS 22LSoftware Engineering Project in CRainer DoemerReader2023-spring,CourseTakenGradeICS 31NICS 32NICS 45CNICS 33N
2b6a0681-f3e9-4103-be07-922b7048514e,"My areas of expertise are in Human Computer Interaction (HCI), Science, Technology and Society (STS), design, video game design and development, research methods, and object oriented computing.  Computer Science, I mostly focused on object oriented computing like in games and Arduino or electronics based projects. I also do research in critical thinking in computing.  I have TAed in the past during my masters, as well as here in my PhD for two GDIM classes. All have been in person.","Decent experience in C++ in Arduino and raspberry based projects. Have used Java in Processing. Most experience in windows, passing knowledge of Linux/ubuntu and macOS. Experience in C# via Unity.",CourseTitleInstructorPositionWhenGDIM 59Mixed RealitiesTess TanenbaumTA2023-springGDIM 129Games for ImpactKurt SquireTA2023-winterATLS 2200TEXT (Past University)Danny RankinTA2018-fall,CourseTakenGradeICS 166NICS 3NICS 60N
